# 5-regular loopless multigraphs on 8 vertices (max multiplicity 3)
# Fixed edges: [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (5, 6), (5, 6)]
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
147 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 6), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 6)]
149 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 6), (2, 7), (3, 5), (3, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 6), (5, 6)]
153 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 6), (2, 7), (3, 4), (3, 5), (3, 5), (3, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
163 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 6), (2, 6), (3, 5), (3, 5), (3, 5), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6)]
176 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 6)]
178 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 5), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 6), (4, 7), (5, 6), (5, 6)]
182 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 5), (2, 7), (3, 4), (3, 5), (3, 6), (3, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
193 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 5), (2, 6), (3, 5), (3, 5), (3, 6), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6)]
212 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 5), (2, 5), (3, 5), (3, 6), (3, 6), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6)]
223 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 5), (3, 6), (3, 6), (3, 7), (4, 5), (5, 6), (5, 6), (5, 6)]
224 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 5), (3, 6), (3, 6), (3, 6), (4, 5), (5, 6), (5, 6), (5, 7)]
225 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 5), (3, 5), (3, 6), (3, 7), (4, 6), (5, 6), (5, 6), (5, 6)]
226 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
227 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 6), (5, 6), (5, 6), (5, 7)]
