# 5-regular loopless multigraphs on 8 vertices (max multiplicity 2)
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
726 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 6), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 7), (5, 7), (6, 7)]
769 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 5), (2, 5), (2, 7), (3, 4), (3, 5), (3, 5), (4, 6), (4, 6)]
775 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 5), (2, 5), (2, 6), (3, 4), (3, 5), (3, 5), (4, 6), (4, 7)]
802 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 5), (3, 5), (3, 7), (4, 6), (4, 6)]
803 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 5), (3, 5), (3, 6), (4, 6), (4, 7)]
810 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 4), (3, 5), (3, 5), (4, 6), (6, 7)]
871 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 5), (2, 5), (2, 7), (3, 4), (3, 5), (3, 5), (4, 6), (4, 7)]
879 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 5), (2, 5), (2, 6), (3, 4), (3, 5), (3, 5), (4, 7), (4, 7)]
903 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 5), (3, 5), (3, 7), (4, 6), (4, 7)]
904 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 5), (3, 5), (3, 6), (4, 7), (4, 7)]
911 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 4), (3, 5), (3, 5), (4, 7), (6, 7)]
1251 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 4), (3, 4), (3, 5), (6, 7), (6, 7)]
1284 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 5), (3, 5), (6, 7), (6, 7)]
1501 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 7), (2, 3), (2, 3), (2, 6), (2, 7), (2, 7), (3, 4), (3, 6), (3, 6), (4, 5), (4, 5)]
1506 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 7), (2, 3), (2, 3), (2, 6), (2, 6), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 5)]
1549 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 7), (2, 3), (2, 3), (2, 4), (2, 6), (2, 7), (3, 6), (3, 6), (3, 7), (4, 5), (4, 5)]
1564 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 7), (2, 3), (2, 3), (2, 4), (2, 6), (2, 6), (3, 6), (3, 7), (3, 7), (4, 5), (4, 5)]
1602 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 4), (3, 5), (6, 7), (6, 7)]
1607 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 4), (3, 4), (3, 6), (6, 7), (6, 7)]
